image,xmin,ymin,xmax,ymax,label
ne5RZhzSB8dNEefSISm-QA.jpg,1529.0,1291.0,1539.0,1306.0,cctv
ne5RZhzSB8dNEefSISm-QA.jpg,1046.0,1498.0,1064.0,1509.0,cctv
CDkDhCXZsqW1g_C2yMZAEA.jpg,1941.0,1781.0,1956.0,1806.0,cctv
g1EmF_KmeMzNUxA9eXFlxQ.jpg,2885.0,1653.0,2894.0,1661.0,cctv
g1EmF_KmeMzNUxA9eXFlxQ.jpg,2796.0,1648.0,2807.0,1656.0,cctv
g1EmF_KmeMzNUxA9eXFlxQ.jpg,2579.0,1629.0,2594.0,1643.0,cctv
z1a7EeqG8j6VlNd6dWH7IQ.jpg,466.0,1742.0,487.0,1758.0,cctv
z1a7EeqG8j6VlNd6dWH7IQ.jpg,1405.0,1560.0,1452.0,1597.0,cctv
z1a7EeqG8j6VlNd6dWH7IQ.jpg,1398.0,1628.0,1413.0,1648.0,cctv
0-QneLDoQStJZfNAZb29Bg.jpg,3686.0,898.0,3692.0,909.0,cctv
j8SYdyGoONpSaReSXS1Alg.jpg,1694.0,1230.0,1714.0,1254.0,cctv
Mcs6X-HsPfXsR1tWDFCt3Q.jpg,335.0,1286.0,355.0,1306.0,cctv
zgCQBJRYNJAOh5rccLEJCw.jpg,1969.0,1965.0,1974.0,1971.0,cctv
zgCQBJRYNJAOh5rccLEJCw.jpg,1980.0,1959.0,1986.0,1964.0,cctv
rSC5MFUl-o-itH1sZX4ztw.jpg,2059.0,1688.0,2084.0,1712.0,cctv
BWWVTYO_esRNWEKhUeNAiw.jpg,3268.0,283.0,3311.0,336.0,cctv
I2GxptzrGutBov_sVghfrw.jpg,999.0,988.0,1034.0,1002.0,cctv
ath8AkxtfH6mHJeo48rPAg.jpg,2684.0,1053.0,2763.0,1097.0,cctv
ath8AkxtfH6mHJeo48rPAg.jpg,2451.0,1123.0,2507.0,1156.0,cctv
rnwk-DyKDdcaWGfqR5iusQ.jpg,427.0,917.0,447.0,945.0,cctv
rnwk-DyKDdcaWGfqR5iusQ.jpg,739.0,932.0,760.0,958.0,cctv
0HsYmv6rT4o58PSUTWwPxQ.jpg,1564.0,1590.0,1579.0,1603.0,cctv
Wd7K9PC0yiumUmZ7UQpaFg.jpg,3046.0,1169.0,3080.0,1185.0,cctv
BQ85B7kqdPJBw2uBK31x2A.jpg,2607.0,875.0,2637.0,894.0,cctv
J5LoUhiIc_GpnTRuT84XMg.jpg,1695.0,1367.0,1715.0,1391.0,cctv
6pdjvVg41IkkOUiLBw5P8Q.jpg,2595.0,893.0,2621.0,929.0,cctv
6pdjvVg41IkkOUiLBw5P8Q.jpg,2621.0,891.0,2643.0,931.0,cctv
6pdjvVg41IkkOUiLBw5P8Q.jpg,2647.0,890.0,2666.0,930.0,cctv
9JBSmjrbSL2n7eJaeH4JJg.jpg,997.0,1755.0,1011.0,1774.0,cctv
9JBSmjrbSL2n7eJaeH4JJg.jpg,491.0,1699.0,522.0,1717.0,cctv
9JBSmjrbSL2n7eJaeH4JJg.jpg,3051.0,1829.0,3066.0,1847.0,cctv
9JBSmjrbSL2n7eJaeH4JJg.jpg,2715.0,1907.0,2720.0,1918.0,cctv
CxI9oPRVZVTIfB86BLL3Aw.jpg,2592.0,1390.0,2633.0,1426.0,cctv
QWqvcYvcRbP6C7W799_Plg.jpg,2863.0,402.0,2911.0,469.0,cctv
QWqvcYvcRbP6C7W799_Plg.jpg,2890.0,922.0,2918.0,950.0,cctv
bfgXfrJA8VNGIaPUg5x4SQ.jpg,2402.0,1065.0,2416.0,1080.0,cctv
lscQ8to9r6MbFKXJ8p6AQg.jpg,1898.0,848.0,1912.0,871.0,cctv
_f_cQtRdgu8YEeGiX9EblA.jpg,1457.0,512.0,1492.0,547.0,cctv
_f_cQtRdgu8YEeGiX9EblA.jpg,1467.0,1442.0,1502.0,1472.0,cctv
tTgFAOl40AKV9MZwp1CXEw.jpg,755.0,443.0,799.0,491.0,cctv
tTgFAOl40AKV9MZwp1CXEw.jpg,791.0,505.0,825.0,563.0,cctv
V12IGOBMojye6lSAPiFffg.jpg,770.0,1001.0,812.0,1027.0,cctv
V12IGOBMojye6lSAPiFffg.jpg,969.0,999.0,982.0,1026.0,cctv
fpuXwdBAUHjnzXmm0Fv7Nw.jpg,626.0,1301.0,710.0,1349.0,cctv
7m0rru6SVvAre3gIlb6k1A.jpg,1871.0,1574.0,1898.0,1603.0,cctv
gjN6Ma4nELhx_dQcowyU2w.jpg,1711.0,1256.0,1720.0,1268.0,cctv
gjN6Ma4nELhx_dQcowyU2w.jpg,1896.0,1234.0,1906.0,1245.0,cctv
CFl9P1CtjZVi258PRN91bQ.jpg,1903.0,639.0,1957.0,701.0,cctv
nUD18AUcevKM1ZYUIATmDQ.jpg,1951.0,943.0,1968.0,963.0,cctv
nUD18AUcevKM1ZYUIATmDQ.jpg,1004.0,1435.0,1012.0,1447.0,cctv
87H51F7PIGsEiDYicH02oA.jpg,432.0,624.0,440.0,632.0,cctv
EjJ6_ER5s3WOak_vOiQBEw.jpg,3004.0,946.0,3017.0,955.0,cctv
U0fD3uPL0VyXqw5TKDsjkg.jpg,1314.0,1475.0,1344.0,1504.0,cctv
rMx1CFZS3sqD_oJQjmEaPA.jpg,1088.0,466.0,1097.0,474.0,cctv
DMGAex-Bu_AAoasoD-dPcQ.jpg,1787.0,1775.0,1812.0,1787.0,cctv
DMGAex-Bu_AAoasoD-dPcQ.jpg,1344.0,1755.0,1353.0,1771.0,cctv
eHQX2aAMhT2woT73QTokoA.jpg,762.0,1254.0,774.0,1285.0,cctv
eHQX2aAMhT2woT73QTokoA.jpg,654.0,1526.0,659.0,1530.0,cctv
EcCrc-hnfzTEAcn02j3VAA.jpg,874.0,472.0,880.0,479.0,cctv
1N-SJtwhVhjLta1kvKxZjA.jpg,3132.0,496.0,3222.0,717.0,cctv
1N-SJtwhVhjLta1kvKxZjA.jpg,1549.0,1295.0,1562.0,1316.0,cctv
niVgg8lHORx8w6700KWEsg.jpg,3007.0,721.0,3021.0,746.0,cctv
Uqt-9yBojXa9hgcLCeWB6w.jpg,2125.0,1514.0,2143.0,1523.0,cctv
Uqt-9yBojXa9hgcLCeWB6w.jpg,2196.0,1511.0,2212.0,1519.0,cctv
Uqt-9yBojXa9hgcLCeWB6w.jpg,2270.0,1507.0,2287.0,1519.0,cctv
Uqt-9yBojXa9hgcLCeWB6w.jpg,2342.0,1505.0,2360.0,1517.0,cctv
Uqt-9yBojXa9hgcLCeWB6w.jpg,2490.0,1501.0,2506.0,1511.0,cctv
Uqt-9yBojXa9hgcLCeWB6w.jpg,2563.0,1498.0,2580.0,1510.0,cctv
Uqt-9yBojXa9hgcLCeWB6w.jpg,2637.0,1499.0,2654.0,1508.0,cctv
Uqt-9yBojXa9hgcLCeWB6w.jpg,2710.0,1497.0,2727.0,1506.0,cctv
Uqt-9yBojXa9hgcLCeWB6w.jpg,2809.0,1493.0,2828.0,1502.0,cctv
Uqt-9yBojXa9hgcLCeWB6w.jpg,2886.0,1492.0,2903.0,1500.0,cctv
tlM1df9SVZEYWiu__igVOg.jpg,2539.0,1754.0,2557.0,1769.0,cctv
tlM1df9SVZEYWiu__igVOg.jpg,2508.0,1753.0,2520.0,1770.0,cctv
djZc3SsaV09El9IhsNxBqw.jpg,1273.0,925.0,1293.0,945.0,cctv
djZc3SsaV09El9IhsNxBqw.jpg,1351.0,924.0,1374.0,934.0,cctv
djZc3SsaV09El9IhsNxBqw.jpg,1723.0,839.0,1747.0,851.0,cctv
5Qd0emTtkGN3R4yO-L5Ocg.jpg,1836.0,1758.0,1844.0,1765.0,cctv
21OVifySzmQVA_fQisuNzA.jpg,999.0,1195.0,1051.0,1219.0,cctv
21OVifySzmQVA_fQisuNzA.jpg,1550.0,1098.0,1575.0,1129.0,cctv
0PDg8IEGT1a99C_6Yg85qg.jpg,1006.0,673.0,1021.0,681.0,cctv
NrHVEYFK69C_swT4fw5fYg.jpg,2341.0,1640.0,2353.0,1648.0,cctv
QhH_kG10iB5uU50LaMkizQ.jpg,2652.0,986.0,2677.0,1010.0,cctv
B-bnaBX0B0NjXFetccuGyQ.jpg,214.0,548.0,220.0,556.0,cctv
v3CAoQ7ma7NxLDlB9Ljs9w.jpg,2591.0,1575.0,2597.0,1583.0,cctv
1kd_w_NIR8fu2wTt0Hq5Rw.jpg,1423.0,1394.0,1431.0,1402.0,cctv
_syBJNNWLzAH9oLA44Rpeg.jpg,1469.0,731.0,1477.0,753.0,cctv
_syBJNNWLzAH9oLA44Rpeg.jpg,591.0,682.0,621.0,697.0,cctv
_syBJNNWLzAH9oLA44Rpeg.jpg,1714.0,493.0,1756.0,542.0,cctv
_syBJNNWLzAH9oLA44Rpeg.jpg,765.0,131.0,806.0,188.0,cctv
8frjLi6B4H8LQ25Ddhbkjw.jpg,2106.0,362.0,2131.0,401.0,cctv
8frjLi6B4H8LQ25Ddhbkjw.jpg,2035.0,918.0,2051.0,931.0,cctv
K9gYJPdWiAFXfCmAxTsKPQ.jpg,617.0,845.0,641.0,863.0,cctv
95WKVS54jJuCFSd8qOAccg.jpg,2212.0,1596.0,2232.0,1611.0,cctv
oqd3x1ibz9R3Zdm2vYTBfA.jpg,1087.0,1623.0,1092.0,1628.0,cctv
oqd3x1ibz9R3Zdm2vYTBfA.jpg,1166.0,1615.0,1171.0,1620.0,cctv
oqd3x1ibz9R3Zdm2vYTBfA.jpg,2051.0,1153.0,2090.0,1173.0,cctv
oqd3x1ibz9R3Zdm2vYTBfA.jpg,1300.0,1314.0,1308.0,1327.0,cctv
oqd3x1ibz9R3Zdm2vYTBfA.jpg,1436.0,1384.0,1442.0,1391.0,cctv
oqd3x1ibz9R3Zdm2vYTBfA.jpg,1752.0,1324.0,1766.0,1333.0,cctv
l4Pv4AaYitFOyegTSg3DLQ.jpg,1689.0,1716.0,1705.0,1722.0,cctv
0g2zZVKyk4eL0rTtp-yLfQ.jpg,3029.0,1512.0,3097.0,1569.0,cctv
0g2zZVKyk4eL0rTtp-yLfQ.jpg,3807.0,1671.0,3825.0,1699.0,cctv
HAwWzuplmqomRQRNKreJzA.jpg,2108.0,214.0,2185.0,252.0,cctv
xl-EPFO3QfAJiZ2sSaZ5HA.jpg,1682.0,1490.0,1700.0,1515.0,cctv
_7-5UIBUFyiEHxTQZDCxvg.jpg,2155.0,1482.0,2163.0,1494.0,cctv
_7-5UIBUFyiEHxTQZDCxvg.jpg,1464.0,1530.0,1476.0,1542.0,cctv
_7-5UIBUFyiEHxTQZDCxvg.jpg,1327.0,1530.0,1338.0,1537.0,cctv
xwRS3and1BqsKeahdZy7Dw.jpg,99.0,1022.0,125.0,1046.0,cctv
McEzcpkCFhqmwQysTztsFg.jpg,664.0,966.0,702.0,996.0,cctv
Y433oR7XjfOiG2pvMO518Q.jpg,1683.0,1265.0,1700.0,1291.0,cctv
Y433oR7XjfOiG2pvMO518Q.jpg,765.0,1010.0,778.0,1040.0,cctv
oIzdHnIPRcsHC5tNof1_uQ.jpg,2906.0,1486.0,2917.0,1499.0,cctv
YFha8-lxfbIa8cxf0vQ1OQ.jpg,1542.0,1548.0,1552.0,1558.0,cctv
cEj1Br8U_DEaZgfn3su7oQ.jpg,2221.0,490.0,2301.0,535.0,cctv
WCMDt37HpwQN_XN5NJzNkA.jpg,182.0,0.0,216.0,48.0,cctv
SSA-zwE_eE3SOybQQc_ELQ.jpg,2261.0,564.0,2342.0,626.0,cctv
fZTT8qr-Rr88D1XnF8lK1Q.jpg,875.0,580.0,930.0,620.0,cctv
aVf14S2H8BZN5I9GI7eTPg.jpg,2150.0,1001.0,2160.0,1016.0,cctv
oKcuDBN_VtM1faGsCUBqsQ.jpg,483.0,1994.0,498.0,2014.0,cctv
-u_hrTOGrhJ2e6uqav6VBA.jpg,2732.0,1163.0,2763.0,1182.0,cctv
Nf8FP8TxnUGcVJV3nnCwSg.jpg,2964.0,158.0,2993.0,191.0,cctv
b6jHV08xeTQkONlUET56JA.jpg,1147.0,1298.0,1154.0,1314.0,cctv
b6jHV08xeTQkONlUET56JA.jpg,265.0,970.0,291.0,1014.0,cctv
b6jHV08xeTQkONlUET56JA.jpg,446.0,1003.0,479.0,1021.0,cctv
Eh4fWhKFv7NosQPVHJhHCA.jpg,69.0,1521.0,86.0,1554.0,cctv
Eh4fWhKFv7NosQPVHJhHCA.jpg,1689.0,1652.0,1697.0,1681.0,cctv
Eh4fWhKFv7NosQPVHJhHCA.jpg,1677.0,1873.0,1681.0,1882.0,cctv
Eh4fWhKFv7NosQPVHJhHCA.jpg,315.0,1098.0,340.0,1160.0,cctv
-4Kw4AJqOzZG8q5le7bGlQ.jpg,935.0,1215.0,946.0,1277.0,cctv
